geocode,tax_type,tax_cat,tax_auth_id,effective,description,pass_flag,pass_type,base_type,date_flag,rounding,location,report_to,max_tax,unit_type,max_type,thresh_type,unit_and_or_tax,formula,tier,tax_rate,min_tax_base,max_tax_base,fee,min_unit_base,max_unit_base
US2400000000,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400100000,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400104625,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400121325,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400130900,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400147875,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400148775,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400152475,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400182750,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400300000,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400301600,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400338500,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400500000,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400536500,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400900000,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400915925,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2400956300,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2401100000,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2401122725,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2401127900,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2401133950,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2401135200,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
US2401137925,01,22,12020,2025-07-01,STATE SALES TAX,1,00,00,02,02,,3511,0,99,99,9,,01,0,0.03,0,0,0,0,0
